player_name,pitcher,events,p_throws,pitch_name,release_speed,hit_distance_sc,launch_speed,launch_angle,bat_score,post_bat_score,delta_run_exp
"Ohtani, Shohei",571666,single,R,Changeup,83,62,84.5,4,1,1,0.9
"Ohtani, Shohei",596043,single,R,4-Seam Fastball,91.3,89,100.4,4,5,5,0.9
"Ohtani, Shohei",642152,home_run,R,Sinker,95.8,417,110.4,23,7,9,2
"Ohtani, Shohei",519008,double,L,Sinker,88.2,197,84.2,17,6,6,1.25
"Ohtani, Shohei",458681,single,R,4-Seam Fastball,94.4,303,107.5,14,0,0,0.9
"Ohtani, Shohei",450172,double,R,Sinker,94.2,220,76.7,20,2,2,1.25
"Ohtani, Shohei",592836,home_run,R,Split-Finger,87.5,351,102,39,0,1,2
"Ohtani, Shohei",656186,home_run,R,4-Seam Fastball,98.5,402,105.4,31,2,5,2
"Ohtani, Shohei",643290,home_run,R,Curveball,80.9,402,101,27,0,3,2
"Ohtani, Shohei",665093,double,R,Sinker,91.4,388,111.9,20,7,8,1.25
"Ohtani, Shohei",593423,single,R,Sinker,95.7,249,86.3,17,0,0,0.9
"Ohtani, Shohei",664192,single,L,Sinker,90.7,61,105.6,1,1,1,0.9
"Ohtani, Shohei",592644,home_run,R,Cutter,84.2,403,114.4,19,1,2,2
"Ohtani, Shohei",656302,single,R,Knuckle Curve,80.8,96,111,3,0,1,0.9
"Ohtani, Shohei",592229,home_run,R,Sinker,96.2,403,106.6,33,2,5,2
"Ohtani, Shohei",608334,single,R,Curveball,83.1,88,90,5,7,7,0.9
"Ohtani, Shohei",592229,double,R,Curveball,85.5,269,95.3,18,0,2,1.25
"Ohtani, Shohei",608337,triple,R,Changeup,83.3,30,93.9,-2,1,1,1.6
"Ohtani, Shohei",608337,double,R,4-Seam Fastball,96,138,108.6,4,0,0,1.25
"Ohtani, Shohei",571666,double,R,Sinker,89.7,229,74.6,39,3,4,1.25
"Ohtani, Shohei",661403,double,R,Cutter,99.8,369,102.7,21,0,0,1.25
"Ohtani, Shohei",501985,single,L,Knuckle Curve,79.6,176,91.6,10,0,0,0.9
"Ohtani, Shohei",489119,single,L,Cutter,87.5,237,99.1,11,0,0,0.9
"Ohtani, Shohei",656271,single,L,4-Seam Fastball,92.4,99,75.1,7,0,0,0.9
"Ohtani, Shohei",656271,single,L,4-Seam Fastball,92.8,122,100.5,4,0,0,0.9
"Ohtani, Shohei",518875,double,R,Slider,83.4,278,98.3,19,0,1,1.25
