overall_pick,games,points,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game
50,31,85,0.319,0.172,0.81,2.7
51,,,,,,
52,,,,,,
53,42,133,0.293,0.224,0.714,3.2
54,,,,,,
55,16,35,0.483,0.5,1,2.2
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
1,706,6808,0.535,0.12,0.557,9.6
2,1072,10965,0.443,0.361,0.808,10.2
3,845,13804,0.445,0.357,0.822,16.3
4,1155,20936,0.473,0.369,0.871,18.1
5,971,10853,0.412,0.329,0.79,11.2
6,580,5056,0.418,0.382,0.791,8.7
7,656,6808,0.435,0.341,0.772,10.4
8,890,7786,0.44,0.388,0.822,8.7
9,225,1348,0.509,0.5,0.786,6
10,418,4822,0.556,0.111,0.69,11.5
11,,,,,,
12,34,39,0.283,0.25,0.625,1.1
13,119,821,0.458,0.231,0.746,6.9
14,249,2479,0.431,0.368,0.741,10
15,297,1614,0.412,0.304,0.674,5.4
16,377,2239,0.483,0.3,0.815,5.9
17,586,9855,0.434,0.38,0.848,16.8
18,658,6412,0.417,0.361,0.818,9.7
19,526,4947,0.49,0.191,0.726,9.4
20,23,28,0.44,,0.5,1.2
21,618,6807,0.423,0.36,0.796,11
22,867,9349,0.44,0.343,0.855,10.8
23,549,4323,0.427,0.357,0.799,7.9
24,348,2842,0.423,0.388,0.773,8.2
25,473,2202,0.462,0.154,0.678,4.7
26,618,3481,0.495,0,0.564,5.6
27,409,3561,0.435,0.335,0.763,8.7
28,618,3209,0.533,0.16,0.612,5.2
29,51,169,0.469,,0.854,3.3
30,829,11232,0.535,0.034,0.772,13.5
31,157,1260,0.407,0.366,0.882,8
32,127,431,0.389,0.295,0.78,3.4
33,758,6575,0.499,0.207,0.832,8.7
34,849,8108,0.411,0.358,0.809,9.6
35,,,,,,
36,825,8364,0.443,0.367,0.777,10.1
37,473,2209,0.533,0,0.636,4.7
38,179,854,0.388,0.353,0.847,4.8
39,200,1054,0.42,0.325,0.751,5.3
40,833,14858,0.451,0.314,0.772,17.8
41,85,341,0.387,0.189,0.746,4
42,17,47,0.605,,0.167,2.8
43,5,0,0,,,0
44,6,0,0,,,0
45,1123,15593,0.419,0.351,0.842,13.9
46,,,,,,
47,26,129,0.405,0.324,0.794,5
48,145,670,0.47,0.316,0.815,4.6
49,564,5706,0.467,0.237,0.725,10.1
50,487,4926,0.445,0.349,0.799,10.1
51,23,49,0.404,,0.5,2.1
52,,,,,,
53,131,326,0.387,0.212,0.642,2.5
54,16,45,0.425,0.308,0.875,2.8
55,87,334,0.452,0,0.688,3.8
56,870,6102,0.57,0.332,0.673,7
57,806,7951,0.551,0.15,0.68,9.9
58,20,38,0.538,0.5,0.692,1.9
59,,,,,,
60,30,81,0.37,0.32,0.5,2.7
1,550,7873,0.439,0.354,0.824,14.3
2,1076,20558,0.493,0.32,0.813,19.1
3,161,1200,0.373,0.331,0.71,7.5
4,402,3093,0.438,0.235,0.732,7.7
5,361,1618,0.462,0.222,0.74,4.5
6,326,6136,0.459,0.348,0.8,18.8
7,752,7729,0.401,0.366,0.852,10.3
8,1064,17349,0.453,0.349,0.799,16.3
9,90,186,0.494,0,0.583,2.1
10,47,103,0.427,,0.589,2.2
11,940,12028,0.447,0.415,0.892,12.8
12,292,880,0.501,0.286,0.582,3
13,869,4994,0.449,0.349,0.732,5.7
14,502,3940,0.49,0.254,0.675,7.8
15,75,163,0.409,,0.39,2.2
16,299,1778,0.422,0.338,0.704,5.9
17,314,1769,0.403,0.339,0.755,5.6
18,111,438,0.386,0.29,0.793,3.9
19,143,588,0.389,0.312,0.884,4.1
20,221,894,0.51,0.172,0.542,4
21,957,9337,0.456,0.324,0.611,9.8
22,203,1128,0.386,0.321,0.767,5.6
23,256,1340,0.544,,0.445,5.2
24,1023,15116,0.425,0.368,0.813,14.8
25,408,3118,0.42,0.332,0.807,7.6
26,504,3888,0.423,0.374,0.739,7.7
27,353,1747,0.409,0.337,0.739,4.9
28,82,169,0.339,0.25,0.566,2.1
29,189,742,0.38,0.299,0.599,3.9
30,151,477,0.459,0,0.728,3.2
31,67,182,0.438,0.34,0.676,2.7
32,467,2177,0.437,0.43,0.877,4.7
33,281,839,0.467,0.111,0.717,3
34,82,217,0.402,0,0.732,2.6
35,777,5536,0.425,0.364,0.748,7.1
36,403,3080,0.553,0.037,0.661,7.6
37,91,288,0.442,0.306,0.685,3.2
38,7,10,0.3,,0.667,1.4
39,68,184,0.367,0.321,0.86,2.7
40,,,,,,
41,27,42,0.514,,0.5,1.6
42,397,3115,0.402,0.407,0.78,7.8
43,26,50,0.457,0.421,0.556,1.9
44,,,,,,
45,102,439,0.517,,0.672,4.3
46,68,140,0.34,0.25,0.643,2.1
47,1085,14536,0.489,0.341,0.736,13.4
48,,,,,,
49,239,1484,0.515,0,0.682,6.2
50,518,1913,0.584,0,0.649,3.7
51,22,22,0.25,0,0.444,1
52,6,5,0.25,0,0.6,0.8
53,,,,,,
54,73,185,0.534,0,0.643,2.5
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,30,51,0.365,0.375,0.636,1.7
60,14,25,0.3,0.2,1,1.8
1,105,840,0.574,,0.658,8
2,939,25526,0.496,0.384,0.884,27.2
3,950,12989,0.515,0.36,0.759,13.7
4,958,14221,0.439,0.382,0.82,14.8
5,1051,13295,0.448,0.339,0.806,12.6
6,272,2148,0.404,0.333,0.78,7.9
7,819,7097,0.425,0.284,0.713,8.7
8,428,2976,0.607,0,0.674,7
9,672,5881,0.491,0,0.7,8.8
10,684,5932,0.457,0.35,0.716,8.7
11,188,725,0.413,0.235,0.778,3.9
12,1085,13848,0.502,0.332,0.663,12.8
13,231,907,0.499,0.262,0.584,3.9
14,296,3527,0.452,0.293,0.747,11.9
15,651,8185,0.423,0.3,0.824,12.6
16,720,8194,0.418,0.376,0.836,11.4
17,137,581,0.511,0,0.624,4.2
18,860,8370,0.424,0.376,0.846,9.7
19,113,595,0.442,0.231,0.638,5.3
20,616,3777,0.468,0.333,0.783,6.1
21,328,2114,0.369,0.359,0.813,6.4
22,904,6633,0.463,0.393,0.732,7.3
23,676,8463,0.443,0.341,0.77,12.5
24,249,2254,0.399,0.36,0.84,9.1
25,38,119,0.381,0.292,0.743,3.1
26,645,6259,0.413,0.37,0.837,9.7
27,762,8198,0.45,0.386,0.825,10.8
28,355,2816,0.555,0.143,0.697,7.9
29,51,211,0.423,0.294,0.783,4.1
30,,,,,,
31,513,5541,0.535,0.3,0.785,10.8
32,62,125,0.321,0.283,0.783,2
33,13,14,0.318,,,1.1
34,26,107,0.561,0,0.682,4.1
35,514,4111,0.447,0.182,0.7,8
36,52,162,0.425,,0.578,3.1
37,433,2333,0.463,0.34,0.705,5.4
38,135,305,0.496,0,0.41,2.3
39,,,,,,
40,10,6,0.273,0,,0.6
41,70,135,0.483,,0.605,1.9
42,2,10,0.273,0,1,5
43,,,,,,
44,,,,,,
45,,,,,,
46,16,83,0.451,,0.594,5.2
47,342,939,0.419,0.188,0.658,2.7
48,891,12514,0.481,0.36,0.776,14
49,318,1066,0.509,0,0.562,3.4
50,,,,,,
51,1,0,,,,0
52,17,27,0.28,0.182,0.917,1.6
53,18,22,0.281,0.2,0.5,1.2
54,,,,,,
55,,,,,,
56,691,7141,0.434,0.316,0.791,10.3
57,,,,,,
58,,,,,,
59,33,73,0.315,0.24,0.474,2.2
60,,,,,,
1,672,12230,0.457,0.316,0.83,18.2
2,609,7568,0.465,0.349,0.759,12.4
